age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,marital_status,dependents,late_payments,on_time_payments,company_name,city,annual_income_missing,join_year,join_month,join_day,join_weekday,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,credit_flag,transaction_bin,transaction_cluster,debt_to_income,avg_monthly_txn,spending_income_ratio
56.0,0,1,Salaried,638434.9054654673,126311.25716534848,627.7108018455497,2.0,90.0,0.5605853124281682,1.0,Single,1.0,2.6666666666666665,10.0,Romaguera-Crona,Gwenborough,0.0,2017,7,21,4,False,False,False,False,False,True,False,Low,0,Low,1,0.1978451617918009,15.0,0.5605853124281682
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Deckow-Crist,Wisokyburgh,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Romaguera-Jacobson,McKenziehaven,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Robel-Corkery,South Elvis,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Deckow-Crist,Wisokyburgh,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Romaguera-Jacobson,McKenziehaven,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Robel-Corkery,South Elvis,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Deckow-Crist,Wisokyburgh,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Romaguera-Jacobson,McKenziehaven,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
69.0,1,4,Salaried,202198.5020192758,272585.8620872264,579.7598035567694,4.0,375.0,0.6983928970242018,1.0,Single,0.0,2.0,10.0,Robel-Corkery,South Elvis,0.0,2023,2,27,0,True,False,False,True,False,False,False,Low,0,High,2,1.3481101955010553,62.5,0.6983928970242018
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Keebler LLC,Roscoeview,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Considine-Lockman,South Christy,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Johns Group,Howemouth,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Keebler LLC,Roscoeview,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Considine-Lockman,South Christy,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Johns Group,Howemouth,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
46.0,0,4,Self-Employed,541987.1625617342,327543.99316183024,614.9140231593834,5.0,196.0,0.5748011324104793,1.0,Married,2.0,5.0,8.0,Keebler LLC,Roscoeview,0.0,2024,12,20,4,False,False,True,False,False,False,True,Low,0,Medium,3,0.6043390245880996,32.666666666666664,0.5748011324104793
