customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST100000,56.0,Female,East,Primary,Salaried,638434.9054654673,126311.25716534848,Home,627.7108018455497,2,90,0.5605853124281682,2017-07-21 14:02:21.782370,1
CUST100001,69.0,Male,North,Post-Graduate,Salaried,202198.5020192758,272585.8620872264,Car,579.7598035567694,4,375,0.6983928970242018,2023-02-27 14:02:21.782411,1
CUST100002,46.0,Female,West,Post-Graduate,Self-Employed,,327543.99316183024,Other,614.9140231593834,5,196,0.5748011324104793,2024-12-20 14:02:21.782415,1
CUST100003,32.0,Male,West,Graduate,Self-Employed,649138.1948094709,246498.1579870293,Education,670.7297923713639,1,492,0.18519092833584727,2024-05-06 14:02:21.782418,0
CUST100004,60.0,Male,South,Graduate,Unemployed,249107.5003534716,389554.35552915966,Car,742.5452905275482,1,268,0.635596188572878,2025-11-15 14:02:21.782420,1
CUST100005,25.0,Male,East,Secondary,Salaried,425716.7499934342,309638.4176932338,Home,511.0482313983329,1,490,0.31707272779700013,2024-09-22 14:02:21.782424,1
CUST100006,38.0,Male,North,Post-Graduate,Salaried,651877.1756641495,395527.1473179071,Business,537.2082249535395,1,485,0.1668821918879974,2021-01-31 14:02:21.782428,1
CUST100007,56.0,Male,West,Primary,Unemployed,583041.1646929927,446498.6160243686,Home,649.3850824389211,4,101,0.23600024018526009,2018-06-18 14:02:21.782432,1
CUST100008,36.0,Male,North,Secondary,Salaried,571344.8901536519,458480.19484017347,Other,438.89050409063225,2,462,0.6040373860188546,2019-08-15 14:02:21.782439,0
CUST100009,40.0,Female,West,Secondary,Unemployed,658359.2564092701,242678.66481119153,Business,678.532726146501,2,145,0.730896462281432,2020-07-13 14:02:21.782443,0
CUST100010,28.0,Female,South,Secondary,Salaried,761404.4528229574,240442.598788549,Home,755.6433910599359,2,118,0.3624955464623768,2024-05-20 14:02:21.782445,1
CUST100011,28.0,Male,West,Post-Graduate,Salaried,251894.18682209527,540671.3065584495,Other,850.0,5,59,0.4474737512573651,2024-07-11 14:02:21.782447,1
CUST100012,41.0,Male,South,Post-Graduate,Salaried,566649.1234696367,162309.94927476408,Other,658.2069917304707,1,80,0.4272956357434764,2023-12-08 14:02:21.782449,1
CUST100013,53.0,Male,East,Primary,Salaried,692903.716227219,236983.91948101253,Other,735.9310282371412,2,324,0.48103250937738096,2020-01-14 14:02:21.782451,0
CUST100014,57.0,Male,North,Primary,Salaried,653570.6912403617,275829.270827657,Car,652.1888317683736,0,44,0.4791808490912004,2022-09-28 14:02:21.782453,1
CUST100015,41.0,Male,North,Secondary,Salaried,468134.45143353794,171459.28846821844,Other,811.9583664995524,1,403,0.10286282567391813,2021-08-10 14:02:21.782455,0
